,True,Predicted
2992,84.80000305,84.93901
2993,84.80000305,84.792854
2996,84.90000153,84.9901
2997,84.69999695,84.91913
3001,84.5,84.272095
3004,85.0,84.671265
3011,85.30000305,85.391556
3012,85.80000305,85.646095
3015,85.40000153,85.34832
3024,86.19999695,86.09616
3031,86.09999847,85.94067
3033,85.90000153,85.509415
3041,85.0,84.72566
3045,84.19999695,84.15173
3047,84.0,83.85022
3049,84.40000153,84.39421
3052,84.80000305,84.57724
3057,84.19999695,84.181526
3058,84.0,83.90431
3062,84.80000305,84.789215
3068,85.30000305,84.79674
3070,85.69999695,85.336945
3072,85.5,85.36998
3077,85.19999695,85.61398
3082,85.5,85.35188
3084,85.40000153,85.20859
3085,85.59999847,85.333145
3087,85.19999695,85.06259
3089,85.0,84.57567
3091,85.0,85.16607
3094,85.19999695,85.12106
3095,84.90000153,84.89143
3096,84.90000153,85.17835
3102,87.59999847,87.516
3103,85.542239,85.84839
3105,85.542239,85.36202
3107,85.542239,85.48071
3108,85.542239,85.66295
3111,85.542239,85.51889
3115,84.5,84.12044
3122,83.69999695,83.87419
3123,84.0,83.79233
3127,83.59999847,83.697
3128,83.40000153,83.67468
3129,83.69999695,83.46211
3134,83.80000305,83.93525
3135,83.69999695,83.555664
3137,83.59999847,83.44475
3139,83.59999847,83.21741
3141,83.40000153,83.36663
3145,83.09999847,83.15564
3150,83.40000153,83.64412
3163,83.69999695,83.9093
3165,83.40000153,83.2885
3168,82.5,82.75789
3174,83.19999695,83.427666
3178,83.09999847,83.20497
3179,83.19999695,83.30144
3185,83.19999695,83.44528
3186,83.30000305,83.3858
3187,83.19999695,83.68579
3190,83.30000305,83.305534
3191,83.59999847,83.62634
3199,83.59999847,83.949104
3204,83.5,83.497375
3205,83.59999847,83.915474
3206,83.5,83.85372
3211,83.90000153,83.92018
3215,84.09999847,84.34253
3216,83.69999695,84.07656
3218,84.0,83.938995
3219,84.09999847,84.301384
3224,84.5,84.340256
3226,85.09999847,84.94565
3227,84.69999695,84.86073
3228,84.69999695,84.75554
3229,84.59999847,84.43446
3230,84.5,84.66886
3236,84.19999695,84.39965
3238,84.59999847,84.78825
3244,86.40000153,85.33992
3248,81.19999695,81.28601
3249,81.40000153,81.68042
3250,81.90000153,82.46434
3252,82.30000305,82.56393
3257,83.0,83.25856
3258,83.09999847,83.15924
3264,82.30000305,82.19992
3268,82.09999847,82.390785
3272,83.09999847,83.144585
3275,83.09999847,83.21332
3278,82.69999695,82.41911
3280,82.09999847,82.081345
3288,83.30000305,83.475266
3290,84.0,83.82196
3292,84.30000305,84.391335
3293,84.5,84.57045
3295,83.90000153,83.44533
3298,83.90000153,83.507324
3300,84.0,83.71725
3301,83.80000305,83.72231
3308,84.19999695,84.199234
3309,84.69999695,84.30768
3310,84.69999695,84.42642
3312,84.19999695,84.047516
3313,84.0,84.01344
3317,85.0,84.68325
3328,84.09999847,84.28398
3331,84.69999695,84.74471
3333,84.09999847,84.23477
3334,84.40000153,83.92286
3337,83.69999695,84.094246
3339,84.09999847,84.42192
3340,84.09999847,83.982216
3342,84.40000153,84.69423
3346,84.19999695,83.6829
3347,83.90000153,83.35222
3349,83.90000153,83.95443
3356,83.40000153,83.661736
3360,83.90000153,83.87417
3361,84.0,84.009384
3362,83.90000153,83.85457
3366,84.19999695,83.69106
3371,85.542239,85.16803
3372,85.542239,85.5284
3377,89.80000305,88.93405
3383,83.40000153,83.35017
3384,83.19999695,83.27002
3387,83.59999847,83.84845
3390,83.5,83.91486
3393,83.69999695,83.803825
3395,83.19999695,83.49953
3396,83.30000305,83.94313
3399,83.69999695,83.63046
3404,83.59999847,83.78416
3405,84.0,84.5252
3406,83.69999695,83.76041
3409,83.80000305,83.95624
3416,83.5,83.56906
3418,84.5,84.94571
3419,85.19999695,85.141495
3421,84.90000153,84.988556
3422,85.30000305,85.76301
3423,85.40000153,85.84204
3425,83.69999695,83.60516
3430,83.69999695,84.03145
3436,84.0,84.4301
