,TOP_HOT_AIR_TEMP,CHAMBER_EXT_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW,target
4439,188.0,82.90000153,87.6999969,1099.377,0
3824,184.39999,88.09999847,91.6999969,809.377,4
636,185.60001,86.0,90.6999969,1003.658,0
5221,183.5,86.09999847,91.1999969,770.1556,4
3584,182.5,58.40000153,88.3000031,1038.21,2
3664,187.10001,83.30000305,87.5999985,1064.708,0
4551,185.10001,83.40000153,88.1999969,1004.825,0
2973,182.60001,84.90000153,90.0999985,1004.825,0
7525,187.8,85.542239,90.452079,1005.48,0
613,203.0,84.69999695,89.5999985,1100.545,1
2015,185.2,83.19999695,67.6999969,1050.934,3
2834,184.5,83.5,88.3000031,1025.486,0
644,182.10001,87.30000305,92.1999969,990.9338,0
3619,200.89999,85.542239,90.452079,1005.48,1
10422,184.89999,86.5,91.1999969,978.2101,0
11740,186.2,85.5,89.5999985,1054.436,0
5015,184.10001,85.5,90.6999969,800.156,4
3449,184.8,83.59999847,88.9000015,1010.545,0
7228,184.39999,85.69999695,90.9000015,994.4358,0
3590,183.89999,83.69999695,88.8000031,1005.875,0
5727,186.0,83.59999847,88.4000015,1016.265,0
4789,184.7,83.19999695,87.8000031,838.21,4
4636,186.2,83.90000153,88.5999985,982.8794,0
3659,203.2,83.80000305,88.5,1090.156,1
1215,183.3,85.5,90.0999985,1039.377,0
3627,185.39999,84.5,68.4000015,1075.097,3
2823,182.2,83.5,88.0999985,1012.879,0
3563,184.5,83.30000305,67.8000031,1027.821,3
4448,186.2,84.0,89.0999985,1093.541,0
3977,201.10001,84.5,89.3000031,984.0467,1
3478,183.5,83.30000305,67.8000031,1011.712,3
1543,196.60001,82.30000305,86.8000031,1016.265,1
1409,181.8,85.30000305,89.9000015,805.875,4
4864,185.8,84.09999847,89.1999969,839.377,4
6131,188.3,81.69999695,86.0,1100.545,0
1770,184.2,83.40000153,88.4000015,1056.654,0
5137,201.0,84.30000305,88.3000031,1101.712,1
411,184.10001,85.19999695,70.0,1016.265,3
5818,184.89999,83.90000153,69.0,1107.432,3
816,201.7,84.90000153,89.1999969,1116.654,1
6804,187.8,87.69999695,92.8000031,974.8249,0
5152,186.2,83.59999847,68.0999985,1093.541,3
5754,185.8,84.0,89.1999969,1024.436,0
3834,184.5,84.19999695,89.0,805.875,4
10488,183.7,85.542239,90.452079,1005.48,0
8044,185.3,86.59999847,91.3000031,989.7665,0
1932,183.5,86.30000305,91.5,972.4903,0
10085,185.5,86.09999847,90.9000015,1001.323,0
5994,183.0,61.40000153,91.3000031,986.3813,2
5168,186.10001,83.69999695,88.4000015,1100.545,0
6503,183.3,83.90000153,89.4000015,975.9922,0
5372,189.10001,84.80000305,89.9000015,1103.93,0
8330,185.60001,84.80000305,89.5,1016.265,0
11034,183.60001,85.5,90.5999985,995.6031,0
1428,183.10001,86.80000305,91.5999985,994.4358,0
